part,measure,pitch,staff,voice,ground_truth
P1,12,G3,2,5,2
P1,13,G6,1,1,5
P1,13,F6,1,1,3
P1,13,E6,1,1,2
P1,13,D6,1,1,1
P1,13,A5,1,1,3
P1,13,A5,1,1,3
P1,13,D6,1,1,4
P1,13,E6,1,1,5
P1,13,D6,1,1,4
P1,13,F6,1,1,5
P1,13,G2,2,5,4
P1,13,D3,2,5,3
P1,13,B3,2,5,2
P1,13,D3,2,5,3
P1,13,A2,2,5,4
P1,13,G3,2,5,2
P1,13,B3,2,5,1
P1,13,G3,2,5,2
P1,14,F6,1,1,5
P1,14,E6,1,1,4
P1,14,F6,1,1,5
P1,14,G6,1,1,5
P1,14,G6,1,1,5
P1,14,D3,2,5,3
P1,14,A3,2,5,2
P1,14,F4,2,5,1
P1,14,A3,2,5,2
P1,14,B2,2,5,3
P1,14,A3,2,5,2
P1,14,D4,2,5,1
P1,14,A3,2,5,2
P1,15,G6,1,1,5
P1,15,F6,1,1,3
P1,15,E6,1,1,2
P1,15,D6,1,1,1
P1,15,A5,1,1,3
P1,15,A5,1,1,3
P1,15,D6,1,1,4
P1,15,E6,1,1,5
P1,15,D6,1,1,4
P1,15,D6,1,1,4
P1,15,E2,2,5,4
P1,15,B2,2,5,3
P1,15,G3,2,5,2
P1,15,B2,2,5,3
P1,15,A2,2,5,4
P1,15,G3,2,5,2
P1,15,B3,2,5,1
P1,15,G3,2,5,2
P1,16,D6,1,1,4
P1,16,D2,2,5,5
P1,16,A2,2,5,4
P1,16,F3,2,5,2
P1,16,D3,2,5,3
P1,16,A3,2,5,2
P1,16,D4,2,5,1
P1,16,A3,2,5,2
P1,16,F3,2,5,1
P1,17,D5,1,1,1
P1,17,D6,1,1,5
P1,17,D4,1,1,2
P1,17,C4,1,1,1
P1,17,D4,1,1,2
P1,17,F4,1,1,1
P1,17,B4,1,1,2
P1,17,D5,1,1,1
P1,17,D6,1,1,5
P1,17,F5,1,1,1
P1,17,F6,1,1,5
P1,17,D5,1,1,1
P1,17,D6,1,1,5
P1,17,D5,1,1,1
P1,17,D6,1,1,5
P1,17,B2,2,5,3
P1,17,F3,2,5,2
P1,17,B3,2,5,3
P1,17,D4,2,5,1
P1,17,F3,2,5,2
P1,17,A2,2,5,4
P1,17,F3,2,5,2
P1,17,B3,2,5,3
P1,17,F3,2,5,2
P1,18,D5,1,1,1
P1,18,D6,1,1,5
P1,18,C5,1,1,1
P1,18,C6,1,1,5
P1,18,C5,1,1,1
P1,18,C6,1,1,5
P1,18,B4,1,1,1
P1,18,B5,1,1,5
P1,18,C5,1,1,1
P1,18,C6,1,1,5
P1,18,C5,1,1,1
P1,18,C6,1,1,5
P1,18,F4,1,1,1
P1,18,F5,1,1,5
P1,18,F4,1,1,1
P1,18,F5,1,1,5
P1,18,A4,1,1,1
P1,18,A5,1,1,5
P1,18,C5,1,1,1
P1,18,C6,1,1,5
P1,18,F2,2,5,4
P1,18,C3,2,5,3
P1,18,A3,2,5,2
P1,18,C3,2,5,3
P1,18,F2,2,5,4
P1,18,C3,2,5,3
P1,18,A3,2,5,2
P1,18,C3,2,5,3
P1,19,C5,1,1,1
P1,19,C6,1,1,5
P1,19,C5,1,1,1
P1,19,C6,1,1,5
P1,19,D5,1,1,1
P1,19,D6,1,1,5
P1,19,E5,1,1,1
P1,19,E6,1,1,5
P1,19,C5,1,1,1
P1,19,C6,1,1,5
P1,19,A2,2,5,4
P1,19,G3,2,5,2
P1,19,E4,2,5,1
P1,19,G3,2,5,2
P1,19,B2,2,5,3
P1,19,G3,2,5,2
P1,19,B2,2,5,4
P1,19,G3,2,5,2
P1,20,C5,1,1,1
P1,20,C6,1,1,5
P1,20,B4,1,1,1
P1,20,B5,1,1,5
P1,20,B4,1,1,1
P1,20,B5,1,1,5
P1,20,A4,1,1,1
P1,20,A5,1,1,5
P1,20,B4,1,1,1
P1,20,B5,1,1,5
P1,20,D4,1,1,1
P1,20,D5,1,1,5
P1,20,D4,1,1,1
P1,20,D5,1,1,5
P1,20,F4,1,1,1
P1,20,F5,1,1,5
P1,20,B4,1,1,1
P1,20,B5,1,1,5
P1,20,A2,2,5,4
P1,20,E3,2,5,3
P1,20,C4,2,5,1
P1,20,E3,2,5,3
P1,20,B2,2,5,4
P1,20,F3,2,5,2
P1,20,B3,2,5,3
P1,20,F3,2,5,2
P1,21,B4,1,1,1
P1,21,B5,1,1,5
P1,21,E4,1,1,1
P1,21,E5,1,1,5
P1,21,F4,1,1,1
P1,21,F5,1,1,5
P1,21,G4,1,1,1
P1,21,G5,1,1,5
P1,21,A4,1,1,1
P1,21,A5,1,1,5
P1,21,E2,2,5,4
P1,21,B2,2,5,3
P1,21,G3,2,5,2
P1,21,B2,2,5,3
P1,21,E2,2,5,4
P1,21,B2,2,5,3
P1,21,E3,2,5,1
P1,21,A2,2,5,5
P1,21,C3,2,5,4
P1,21,G3,2,5,1
P1,22,A4,1,1,1
P1,22,A5,1,1,5
P1,22,F4,1,1,1
P1,22,F5,1,1,5
P1,22,G4,1,1,1
P1,22,G5,1,1,5
P1,22,A4,1,1,1
P1,22,A5,1,1,5
P1,22,B4,1,1,1
P1,22,B5,1,1,5
P1,22,B4,1,1,1
P1,22,B5,1,1,5
P1,22,D3,2,5,3
P1,22,A3,2,5,2
P1,22,C4,2,5,1
P1,22,A3,2,5,2
P1,22,G2,2,5,4
P1,22,D3,2,5,3
P1,22,B3,2,5,2
P1,22,D3,2,5,3
P1,23,G5,1,1,1
P1,23,B5,1,1,3
P1,23,B5,1,1,1
P1,23,D6,1,1,3
P1,23,G5,1,1,1
P1,23,B5,1,1,3
P1,23,F5,1,1,1
P1,23,A5,1,1,3
P1,23,F5,1,1,1
P1,23,A5,1,1,3
P1,23,E5,1,1,1
P1,23,G5,1,1,3
P1,23,D5,1,1,1
P1,23,F5,1,1,3
P1,23,B4,1,1,1
P1,23,D5,1,1,3
P1,23,C5,1,1,1
P1,23,E5,1,1,3
P1,23,G2,2,5,4
P1,23,D3,2,5,3
P1,23,B3,2,5,2
P1,23,D3,2,5,3
P1,23,F2,2,5,4
P1,23,E2,2,5,5
P1,23,D2,2,5,5
P1,23,B1,2,5,5
P1,24,C5,1,1,1
P1,24,E5,1,1,3
P1,24,C5,1,1,1
P1,24,E5,1,1,3
P1,24,D5,1,1,1
P1,24,F5,1,1,3
P1,24,E5,1,1,1
P1,24,G5,1,1,3
P1,24,F5,1,1,1
P1,24,A5,1,1,3
P1,24,A1,2,5,5
P1,24,A2,2,5,5
P1,24,C3,2,5,3
P1,24,A2,2,5,4
P1,24,E3,2,5,3
P1,24,A2,2,5,4
P1,24,F3,2,5,2
P1,24,A2,2,5,4
P1,25,F5,1,1,1
P1,25,A5,1,1,3
P1,25,D5,1,1,1
P1,25,F5,1,1,3
P1,25,E5,1,1,1
P1,25,G5,1,1,3
P1,25,F5,1,1,1
P1,25,A5,1,1,3
P1,25,G5,1,1,1
P1,25,B5,1,1,3
P1,25,G5,1,1,1
P1,25,B5,1,1,3
P1,25,D3,2,5,3
P1,25,A3,2,5,2
P1,25,C4,2,5,1
P1,25,A3,2,5,2
P1,25,G2,2,5,4
P1,25,D3,2,5,3
P1,25,B3,2,5,2
P1,25,D3,2,5,3
P1,26,G5,1,1,1
P1,26,B5,1,1,3
P1,26,G5,1,1,1
P1,26,B5,1,1,3
P1,26,G5,1,1,1
P1,26,B5,1,1,3
P1,26,F5,1,1,1
P1,26,A5,1,1,3
P1,26,F5,1,1,1
P1,26,A5,1,1,3
P1,26,E5,1,1,1
P1,26,G5,1,1,3
P1,26,D5,1,1,1
P1,26,F5,1,1,3
P1,26,B4,1,1,1
P1,26,D5,1,1,3
P1,26,A4,1,1,1
P1,26,C5,1,1,3
P1,26,E5,1,1,5
P1,26,G2,2,5,4
P1,26,D3,2,5,3
P1,26,B3,2,5,2
P1,26,D3,2,5,3
P1,26,F3,2,5,2
P1,26,E3,2,5,3
P1,26,D3,2,5,4
P1,26,B2,2,5,3
P1,27,A4,1,1,1
P1,27,C5,1,1,3
P1,27,E5,1,1,5
P1,27,A1,2,5,5
P1,27,A2,2,5,4
P1,27,E3,2,5,3
P1,27,G3,2,5,2
P1,27,C4,2,5,1
P1,27,G3,2,5,2
P1,27,E3,2,5,3
P1,27,A2,2,5,4
P1,28,A6,1,1,5
P1,28,G6,1,1,4
P1,28,F6,1,1,3
P1,28,E6,1,1,2
P1,28,D6,1,1,1
P1,28,D2,2,5,5
P1,28,A2,2,5,4
P1,28,F3,2,5,2
P1,28,D3,2,5,3
P1,28,A3,2,5,2
P1,28,D4,2,5,1
P1,28,A3,2,5,2
P1,28,F3,2,5,1
P1,29,A5,1,1,3
P1,29,E6,1,1,4
P1,29,G6,1,1,5
P1,29,E6,1,1,4
P1,29,C3,2,5,3
P1,29,A3,2,5,2
P1,29,E4,2,5,1
P1,29,A3,2,5,2
P1,29,A2,2,5,4
P1,29,G3,2,5,2
P1,29,C4,2,5,1
P1,29,G3,2,5,2
P1,30,A6,1,1,5
P1,30,A6,1,1,5
P1,30,B6,1,1,5
P1,30,A6,1,1,3
P1,30,G6,1,1,2
P1,30,F6,1,1,1
P1,30,E6,1,1,3
P1,30,D6,1,1,2
P1,30,D2,2,5,5
P1,30,A2,2,5,4
P1,30,F3,2,5,2
P1,30,D3,2,5,3
P1,30,A3,2,5,2
P1,30,D4,2,5,1
P1,30,A3,2,5,2
P1,30,F3,2,5,1
P1,31,A5,1,1,3
P1,31,E6,1,1,4
P1,31,F6,1,1,5
P1,31,G6,1,1,5
P1,31,G6,1,1,5
P1,31,C3,2,5,3
P1,31,A3,2,5,2
P1,31,E4,2,5,1
P1,31,A3,2,5,2
P1,31,A2,2,5,4
P1,31,G3,2,5,2
P1,31,C4,2,5,1
P1,31,G3,2,5,2
P1,32,G6,1,1,5
P1,32,F6,1,1,3
P1,32,E6,1,1,2
P1,32,D6,1,1,1
P1,32,A5,1,1,3
P1,32,A5,1,1,3
P1,32,D6,1,1,4
P1,32,E6,1,1,5
P1,32,D6,1,1,4
P1,32,F6,1,1,5
P1,32,G2,2,5,4
P1,32,D3,2,5,3
P1,32,B3,2,5,2
P1,32,D3,2,5,3
P1,32,A2,2,5,4
P1,32,G3,2,5,2
P1,32,B3,2,5,1
P1,32,G3,2,5,2
P1,33,F6,1,1,5
P1,33,E6,1,1,4
P1,33,F6,1,1,5
P1,33,G6,1,1,5
P1,33,G6,1,1,5
P1,33,D3,2,5,3
P1,33,A3,2,5,2
P1,33,F4,2,5,1
P1,33,A3,2,5,2
P1,33,B2,2,5,3
P1,33,A3,2,5,2
P1,33,D4,2,5,1
P1,33,A3,2,5,2
P1,34,G6,1,1,5
P1,34,F6,1,1,3
P1,34,E6,1,1,2
P1,34,D6,1,1,1
P1,34,A5,1,1,3
P1,34,A5,1,1,3
P1,34,D6,1,1,4
P1,34,E6,1,1,5
P1,34,D6,1,1,4
P1,34,D6,1,1,4
P1,34,E2,2,5,4
P1,34,B2,2,5,3
P1,34,G3,2,5,2
P1,34,B2,2,5,3
P1,34,A2,2,5,4
P1,34,G3,2,5,2
P1,34,B3,2,5,1
P1,34,G3,2,5,2
P1,35,D6,1,1,4
P1,35,E6,1,1,5
P1,35,F6,1,1,5
P1,35,G6,1,1,5
P1,35,G6,1,1,5
P1,35,D2,2,5,5
P1,35,A2,2,5,4
P1,35,F3,2,5,2
P1,35,D3,2,5,3
P1,35,C4,2,5,1
P1,35,A3,2,5,2
P1,35,F3,2,5,1
P1,35,D3,2,5,3
P1,36,G6,1,1,5
P1,36,F6,1,1,4
P1,36,E6,1,1,3
P1,36,D6,1,1,2
P1,36,A5,1,1,3
P1,36,A5,1,1,3
P1,36,D6,1,1,4
P1,36,E6,1,1,5
P1,36,D6,1,1,4
P1,36,F6,1,1,5
P1,36,G2,2,5,4
P1,36,D3,2,5,3
P1,36,B3,2,5,2
P1,36,D3,2,5,3
P1,36,A2,2,5,4
P1,36,G3,2,5,2
P1,36,B3,2,5,1
P1,36,G3,2,5,2
P1,37,F6,1,1,5
P1,37,E6,1,1,4
P1,37,F6,1,1,5
P1,37,G6,1,1,5
P1,37,G6,1,1,5
P1,37,D3,2,5,3
P1,37,A3,2,5,2
P1,37,F4,2,5,1
P1,37,A3,2,5,2
P1,37,B2,2,5,3
P1,37,F3,2,5,2
P1,37,B3,2,5,3
P1,37,F3,2,5,2
P1,38,G6,1,1,5
P1,38,F6,1,1,3
P1,38,E6,1,1,2
P1,38,D6,1,1,1
P1,38,A5,1,1,3
P1,38,A5,1,1,3
P1,38,D6,1,1,4
P1,38,E6,1,1,5
P1,38,D6,1,1,4
P1,38,D6,1,1,4
P1,38,E2,2,5,4
P1,38,B2,2,5,3
P1,38,G3,2,5,2
P1,38,B2,2,5,3
P1,38,A2,2,5,4
P1,38,E3,2,5,3
P1,38,G3,2,5,2
P1,38,E3,2,5,3
P1,39,C6,1,1,1
P1,39,A6,1,1,4
P1,39,C6,1,1,1
P1,39,A6,1,1,4
P1,39,B5,1,1,1
P1,39,G6,1,1,4
P1,39,B5,1,1,1
P1,39,G6,1,1,4
P1,39,B5,1,1,1
P1,39,G6,1,1,4
P1,39,A5,1,1,1
P1,39,F6,1,1,4
P1,39,A5,1,1,1
P1,39,F6,1,1,4
P1,39,G5,1,1,1
P1,39,E6,1,1,4
P1,39,G5,1,1,1
P1,39,E6,1,1,4
P1,39,D2,2,5,5
P1,39,D2,2,5,5
P1,39,D3,2,5,5
P1,39,F3,2,5,3
P1,39,A3,2,5,1
P1,39,G2,2,5,4
P1,39,G2,2,5,4
P1,39,G2,2,5,4
P1,39,D3,2,5,5
P1,39,G3,2,5,3
P1,39,B3,2,5,1
P1,39,A2,2,5,3
P1,40,G5,1,1,1
P1,40,E6,1,1,4
P1,40,F5,1,1,1
P1,40,D6,1,1,4
P1,40,G5,1,1,1
P1,40,E6,1,1,4
P1,40,E5,1,1,1
P1,40,C6,1,1,4
P1,40,F5,1,1,1
P1,40,D6,1,1,4
P1,40,C5,1,1,1
P1,40,A5,1,1,4
P1,40,C5,1,1,1
P1,40,A5,1,1,4
P1,40,B4,1,1,1
P1,40,G5,1,1,4
P1,40,B4,1,1,1
P1,40,G5,1,1,4
P1,40,A2,2,5,3
P1,40,A2,2,5,3
P1,40,C3,2,5,5
P1,40,E3,2,5,3
P1,40,A3,2,5,1
P1,40,D2,2,5,5
P1,40,D2,2,5,5
P1,40,D2,2,5,5
P1,40,D3,2,5,5
P1,40,F3,2,5,3
P1,40,A3,2,5,1
P1,40,G2,2,5,4
P1,41,B4,1,1,1
P1,41,G5,1,1,4
P1,41,A4,1,1,1
P1,41,F5,1,1,4
P1,41,A4,1,1,1
P1,41,F5,1,1,4
P1,41,G4,1,1,1
P1,41,E5,1,1,4
P1,41,G4,1,1,1
P1,41,E5,1,1,4
P1,41,G4,1,1,1
P1,41,E5,1,1,4
P1,41,F4,1,1,1
P1,41,D5,1,1,4
P1,41,F4,1,1,1
P1,41,D5,1,1,4
P1,41,E4,1,1,1
P1,41,C5,1,1,4
P1,41,F4,1,1,1
P1,41,D5,1,1,4
P1,41,G2,2,5,4
P1,41,G2,2,5,4
P1,41,D3,2,5,5
P1,41,G3,2,5,3
P1,41,B3,2,5,1
P1,41,A2,2,5,3
P1,41,A2,2,5,3
P1,41,A2,2,5,3
P1,41,C3,2,5,5
P1,41,E3,2,5,3
P1,41,A3,2,5,1
P1,41,D3,2,5,4
P1,41,A3,2,5,1
